Parameter.Code,monitor_id,POC,Date.Local,Units.of.Measure,mean
44201,0050002,1,2010-06-01,Parts per billion,60.625
44201,0050002,1,2010-06-02,Parts per billion,58.375
44201,0050002,1,2010-06-03,Parts per billion,36.125
44201,0050002,1,2010-06-04,Parts per billion,42.5
44201,0050002,1,2010-06-05,Parts per billion,40.5
44201,0050002,1,2010-06-06,Parts per billion,50.125
44201,0050002,1,2010-06-07,Parts per billion,68.625
44201,0050002,1,2010-06-08,Parts per billion,48.25
44201,0050002,1,2010-06-09,Parts per billion,69.5
44201,0050002,1,2010-06-10,Parts per billion,55.625
44201,0050002,1,2010-06-11,Parts per billion,53.625
44201,0050002,1,2010-06-12,Parts per billion,35
44201,0050002,1,2010-06-13,Parts per billion,26.5
44201,0050002,1,2010-06-14,Parts per billion,45.625
44201,0050002,1,2010-06-15,Parts per billion,66.875
44201,0050002,1,2010-06-16,Parts per billion,60.375
44201,0050002,1,2010-06-17,Parts per billion,70.25
44201,0050002,1,2010-06-18,Parts per billion,62.625
44201,0050002,1,2010-06-19,Parts per billion,70.25
44201,0050002,1,2010-06-20,Parts per billion,53.875
44201,0050002,1,2010-06-21,Parts per billion,47.875
44201,0050002,1,2010-06-22,Parts per billion,52.25
44201,0050002,1,2010-06-23,Parts per billion,61.625
44201,0050002,1,2010-06-24,Parts per billion,62.25
44201,0050002,1,2010-06-25,Parts per billion,48.375
44201,0050002,1,2010-06-26,Parts per billion,53.25
44201,0050002,1,2010-06-27,Parts per billion,60.75
44201,0050002,1,2010-06-28,Parts per billion,77.5
44201,0050002,1,2010-06-29,Parts per billion,67
44201,0050002,1,2010-06-30,Parts per billion,62.5
44201,0050002,1,2010-07-01,Parts per billion,74.875
44201,0050002,1,2010-07-02,Parts per billion,67.875
44201,0050002,1,2010-07-03,Parts per billion,56.625
44201,0050002,1,2010-07-04,Parts per billion,50.125
44201,0050002,1,2010-07-05,Parts per billion,59.625
44201,0050002,1,2010-07-06,Parts per billion,55.625
44201,0050002,1,2010-07-07,Parts per billion,29.375
44201,0050002,1,2010-07-08,Parts per billion,41.625
44201,0050002,1,2010-07-09,Parts per billion,61.5
44201,0050002,1,2010-07-10,Parts per billion,57.625
44201,0050002,1,2010-07-11,Parts per billion,62.625
44201,0050002,1,2010-07-12,Parts per billion,64.375
44201,0050002,1,2010-07-13,Parts per billion,57
44201,0050002,1,2010-07-14,Parts per billion,65.25
44201,0050002,1,2010-07-15,Parts per billion,76.75
44201,0050002,1,2010-07-16,Parts per billion,76.375
44201,0050002,1,2010-07-17,Parts per billion,62.625
44201,0050002,1,2010-07-18,Parts per billion,57.375
44201,0050002,1,2010-07-19,Parts per billion,62
44201,0050002,1,2010-07-20,Parts per billion,53.625
44201,0050002,1,2010-07-21,Parts per billion,68.25
44201,0050002,1,2010-07-22,Parts per billion,55.375
44201,0050002,1,2010-07-23,Parts per billion,70.875
44201,0050002,1,2010-07-24,Parts per billion,52.875
44201,0050002,1,2010-07-25,Parts per billion,49.375
44201,0050002,1,2010-07-26,Parts per billion,63.625
44201,0050002,1,2010-07-27,Parts per billion,64.625
44201,0050002,1,2010-07-28,Parts per billion,50.375
44201,0050002,1,2010-07-29,Parts per billion,58.25
44201,0050002,1,2010-07-30,Parts per billion,64.625
44201,0050002,1,2010-07-31,Parts per billion,65.5
44201,0050002,1,2010-08-01,Parts per billion,61.625
44201,0050002,1,2010-08-02,Parts per billion,59.25
44201,0050002,1,2010-08-03,Parts per billion,64.125
44201,0050002,1,2010-08-04,Parts per billion,56.5
44201,0050002,1,2010-08-05,Parts per billion,70.75
44201,0050002,1,2010-08-06,Parts per billion,62.5
44201,0050002,1,2010-08-07,Parts per billion,64.25
44201,0050002,1,2010-08-08,Parts per billion,59.75
44201,0050002,1,2010-08-09,Parts per billion,53.875
44201,0050002,1,2010-08-10,Parts per billion,53.375
44201,0050002,1,2010-08-11,Parts per billion,55.375
44201,0050002,1,2010-08-12,Parts per billion,36.125
44201,0050002,1,2010-08-13,Parts per billion,60
44201,0050002,1,2010-08-14,Parts per billion,59.5
44201,0050002,1,2010-08-15,Parts per billion,75.25
44201,0050002,1,2010-08-16,Parts per billion,40.625
44201,0050002,1,2010-08-17,Parts per billion,70.375
44201,0050002,1,2010-08-18,Parts per billion,60.75
44201,0050002,1,2010-08-19,Parts per billion,51.5
44201,0050002,1,2010-08-20,Parts per billion,66.375
44201,0050002,1,2010-08-21,Parts per billion,60.375
44201,0050002,1,2010-08-22,Parts per billion,53.5
